iter	MultiClass
146	0.2731727238
147	0.2724849906
148	0.2720426617
149	0.271291851
150	0.2708313265
151	0.2697728786
152	0.2691017066
153	0.2687871825
154	0.2681962987
155	0.2676715232
156	0.2671723911
157	0.2666965848
158	0.2662438422
159	0.2656860199
160	0.2652395698
161	0.2647817636
162	0.2644032534
163	0.2638623125
164	0.2634825005
165	0.2630062569
166	0.2626408184
167	0.2622470451
168	0.2616452412
169	0.2612143018
170	0.2608732919
171	0.2601330107
172	0.2597790111
173	0.2591484251
174	0.2587877642
175	0.2582562198
176	0.2578738972
177	0.257522282
178	0.2572478671
179	0.2567974197
180	0.2559877435
181	0.2554202651
182	0.2550069373
183	0.2547314103
184	0.2540366663
185	0.2535059572
186	0.2531210135
187	0.2529088578
188	0.2525440566
189	0.2522759331
190	0.2520576074
191	0.2516024087
192	0.2510220545
193	0.2505054661
194	0.2499970936
195	0.2495615842
196	0.249040378
197	0.2487410039
198	0.2484110515
199	0.2478664836
200	0.2473855013
201	0.2470890707
202	0.246747084
203	0.2462232511
204	0.2459814176
205	0.2457097418
206	0.2454187643
207	0.2450154596
208	0.2445686792
209	0.2441972018
210	0.2437224424
211	0.2434885849
212	0.2431149417
213	0.2428466911
214	0.2425633779
215	0.2422871429
216	0.2419916931
217	0.2415150785
218	0.241159716
219	0.2408342019
220	0.2404962518
221	0.2401555063
222	0.2398858501
223	0.23959718
224	0.2393751729
225	0.2388354347
226	0.2383819944
227	0.2380729524
228	0.2376519661
229	0.2373453091
230	0.2371453104
231	0.2367720949
232	0.2363795674
233	0.2360215462
234	0.2357895176
235	0.2354885947
236	0.235314334
237	0.2349772122
238	0.2347928023
239	0.2345214058
240	0.2342402893
241	0.2340055793
242	0.2337711192
243	0.2334385417
244	0.2332211571
245	0.2329318046
246	0.2326733023
247	0.2323111759
248	0.2320429954
249	0.2315952056
250	0.2311263144
251	0.2308885758
252	0.230422408
253	0.2302373048
254	0.2300362716
255	0.229768313
256	0.2295044059
257	0.2292812897
258	0.2289825976
259	0.2288067687
260	0.228542693
261	0.2282655529
262	0.2277986418
263	0.2275248596
264	0.2270801662
265	0.2268256309
266	0.226657152
267	0.2264071004
268	0.2258610746
269	0.2256408464
270	0.2253681754
271	0.2250286409
272	0.224708002
273	0.2244321717
274	0.2241486732
275	0.2238127814
276	0.2236213586
277	0.2232639904
278	0.222879329
279	0.2227482004
280	0.2226159735
281	0.2222790223
282	0.2220228187
283	0.2218658543
284	0.2217280448
285	0.2214255977
286	0.2211492036
287	0.2209686777
288	0.2206946433
289	0.2205596539
290	0.2202283816
291	0.2201158595
292	0.2198510401
293	0.2193450177
294	0.2189354535
295	0.2187072284
296	0.2183137043
297	0.2178468844
298	0.2175291
299	0.2172750875
300	0.2171157371
301	0.2167305427
302	0.2165093156
303	0.2162344164
304	0.2159401864
305	0.2158022398
306	0.2154949417
307	0.2153128187
308	0.2151339279
309	0.214889297
310	0.2145294781
311	0.2143400621
312	0.2139419779
313	0.2137148614
314	0.213454815
315	0.2132125573
316	0.2129563399
317	0.2126503466
318	0.2122325107
319	0.2121094807
320	0.2119193945
321	0.2116934828
322	0.2113385916
323	0.2111729492
324	0.2108333416
325	0.2105209937
326	0.2103716782
327	0.2101615553
328	0.2099347708
329	0.2097149111
330	0.2095335938
331	0.2093217133
332	0.2090773898
333	0.2088771918
334	0.208685004
335	0.2083311255
336	0.2081681057
337	0.2079135864
338	0.2076629666
339	0.2075328755
340	0.2072205628
341	0.2069955729
342	0.2068209912
343	0.206670436
344	0.2064577608
345	0.2061359246
346	0.2058674825
347	0.2056166017
348	0.2053880214
349	0.2051410972
350	0.2049002266
351	0.2048314281
352	0.204586691
353	0.2042623965
354	0.2041278034
355	0.2039124972
356	0.2037203369
357	0.203423373
358	0.2032950476
359	0.2031524784
360	0.2028513111
361	0.2025593107
362	0.2022726091
363	0.2020174623
364	0.2017022112
365	0.201555053
366	0.2013408848
367	0.2009777521
368	0.2005954978
369	0.200399689
370	0.2000898837
371	0.1998973719
372	0.1997170094
373	0.1994156053
374	0.1990150255
375	0.1988599682
376	0.1986751803
377	0.19851028
378	0.1982120569
379	0.1979581594
380	0.19779347
381	0.1976814392
382	0.197475863
383	0.1972211914
384	0.1970951987
385	0.1968879253
386	0.1966940352
387	0.1965353485
388	0.1962704416
389	0.1961514983
390	0.1960437218
391	0.1958314222
392	0.1957074079
393	0.1954922779
394	0.1953861466
395	0.1950250993
396	0.1947567615
397	0.1946020137
398	0.1944962408
399	0.1942846934
400	0.1941575462
401	0.1940136312
402	0.193804967
403	0.1936135363
404	0.1934280129
405	0.1933070142
406	0.1930735505
407	0.19286512
408	0.1926274201
409	0.192484083
410	0.1922939638
411	0.1921055909
412	0.1920290318
413	0.1918630649
414	0.191636627
415	0.1915380828
416	0.1913117916
417	0.1910909241
418	0.1906436795
419	0.1905190985
420	0.1903843985
421	0.1901783855
422	0.189929497
423	0.1898285624
424	0.1894994924
425	0.1892344652
426	0.1890935955
427	0.1890413256
428	0.1887346326
429	0.1885512975
430	0.1883628508
431	0.1881483633
432	0.1879297181
433	0.1877063204
434	0.187428745
435	0.1873351941
436	0.1871087493
437	0.1869178951
438	0.1866930706
439	0.18654449
440	0.1864351016
441	0.1862952195
442	0.186106098
443	0.1859619068
444	0.185881332
445	0.1857211587
446	0.1854093307
447	0.1852417675
448	0.1849828996
449	0.1848440816
450	0.1845862311
451	0.1845001581
452	0.1843404777
453	0.1842272653
454	0.1841153599
455	0.1839013737
456	0.1837033011
457	0.1835720979
458	0.1833460713
459	0.1831805942
460	0.1830383366
461	0.1828661696
462	0.1827024253
463	0.1825912033
464	0.1824795144
465	0.1823664373
466	0.1821653955
467	0.1819983758
468	0.1818566389
469	0.1816725223
470	0.1814733523
471	0.1812574526
472	0.1811850003
473	0.1810759002
474	0.1808839372
475	0.1806838922
476	0.1805869552
477	0.1804820747
478	0.1802654831
479	0.1800001597
480	0.1798757666
481	0.1795900273
482	0.179422929
483	0.1792173225
484	0.1789964971
485	0.1788258643
486	0.1786744944
487	0.1785206467
488	0.1784076724
489	0.1783348116
490	0.1782463307
491	0.178104779
492	0.1779299094
493	0.1776919504
494	0.1775253554
495	0.1772797916
496	0.1770096492
497	0.1768962701
498	0.1765499811
499	0.1763744725
500	0.176267079
501	0.1760604179
502	0.1759111976
503	0.1758014771
504	0.1756709109
505	0.1755059853
506	0.1752713553
507	0.1751294416
508	0.1749920597
509	0.1747533456
510	0.1745962396
511	0.1744339989
512	0.1742929253
513	0.1741044751
514	0.1740101289
515	0.1738757045
516	0.173798166
517	0.173645013
518	0.1734496454
519	0.1732428391
520	0.1731229707
521	0.1730039161
522	0.1728878279
523	0.1728138395
524	0.1726879053
525	0.1724525631
526	0.1723324471
527	0.172230441
528	0.1721395403
529	0.1719588607
530	0.1718277473
531	0.1715320001
532	0.1713574867
533	0.1711395485
534	0.1710425303
535	0.1708931511
536	0.1707684549
537	0.1704761358
538	0.1703559432
539	0.170249279
540	0.1701480774
541	0.1700569037
542	0.1699694783
543	0.1698140873
544	0.1697250821
545	0.1696503827
546	0.1694927715
547	0.1692436924
548	0.1690784431
549	0.1688764485
550	0.1687079814
551	0.1684475266
552	0.1681577113
553	0.167987663
554	0.1678261451
555	0.1676422753
556	0.1675191138
557	0.1673335172
558	0.1672413894
559	0.1671199892
560	0.1669060654
561	0.1667160724
562	0.1666594454
563	0.1664796719
564	0.1662826426
565	0.1660680779
566	0.1659149068
567	0.1657949764
568	0.1654543951
569	0.1652901827
570	0.1651800112
571	0.1650242207
572	0.1648331398
573	0.1646015981
574	0.164478894
575	0.1642529773
576	0.1641460084
577	0.1640068267
578	0.1637920477
579	0.1636802678
580	0.1635141649
581	0.1632634272
582	0.1630764876
583	0.1629587256
584	0.162886823
585	0.1627324378
586	0.1625613781
587	0.1624444791
588	0.1623780418
589	0.16217335
590	0.1620170291
591	0.161888238
592	0.16168006
593	0.1614771401
594	0.1613301358
595	0.1611352913
596	0.1609903674
597	0.1608987685
598	0.1606339568
599	0.160470617
600	0.1602862134
601	0.1601977939
602	0.1600956888
603	0.159924931
604	0.1598124319
605	0.1595707272
606	0.1593749543
607	0.1592740163
608	0.159145548
609	0.1590175747
610	0.1588502063
611	0.1587130756
612	0.1585960125
613	0.1584001329
614	0.1581961672
615	0.1580414288
616	0.1579410844
617	0.1577376795
618	0.1575867959
619	0.157462122
620	0.157386586
621	0.1572102554
622	0.1569828193
623	0.1567768424
624	0.1566126187
625	0.1564847799
626	0.1563301972
627	0.1562099027
628	0.1561066136
629	0.1559205181
630	0.1557790753
631	0.155657669
632	0.1555084743
633	0.1552881847
634	0.1551708968
635	0.1550178594
636	0.154859498
637	0.1547344502
638	0.1545460513
639	0.1544313744
640	0.1543240826
641	0.1541866627
642	0.1540977455
643	0.1539750988
644	0.1538441755
645	0.1537322138
646	0.1536116756
647	0.1535350891
648	0.1534284607
649	0.1532148286
650	0.1530833727
651	0.1529329427
652	0.1528254928
653	0.1526465802
654	0.1525243176
655	0.1524308455
656	0.1522691122
657	0.1521088006
658	0.151976463
659	0.1518640594
660	0.151668359
661	0.1514876617
662	0.151355592
663	0.1512268177
664	0.1510915469
665	0.1509628374
666	0.1508405713
667	0.1507544063
668	0.1506963748
669	0.150573816
670	0.1503938045
671	0.1502787923
672	0.1502190659
673	0.1500994573
674	0.1500133551
675	0.1499666415
676	0.1498582429
677	0.1497142868
678	0.1495860773
679	0.1495192759
680	0.1494603507
681	0.1493625167
682	0.1492502003
683	0.1491827486
684	0.149025091
685	0.1489309637
686	0.1488150512
687	0.1487623892
688	0.1486037217
689	0.1485102921
690	0.1483751417
691	0.1482950536
692	0.1482237996
693	0.1480787585
694	0.1480009386
695	0.1479406324
696	0.1478179876
697	0.1477175166
698	0.1475322506
699	0.1474244833
700	0.1473104867
701	0.1472380696
702	0.1471649856
703	0.1470870149
704	0.1469584127
705	0.1468567208
706	0.1467167096
707	0.1465644381
708	0.1464877055
709	0.1463755103
710	0.1462642006
711	0.1461615056
712	0.1460660335
713	0.1459288626
714	0.1458751356
715	0.1457520727
716	0.1457073076
717	0.1455849956
718	0.1453483159
719	0.1451917624
720	0.1451128188
721	0.1449240926
722	0.1447371516
723	0.1446338254
724	0.1445523524
725	0.1444309267
726	0.1443712093
727	0.14419582
728	0.1440680659
729	0.1439749964
730	0.1439082673
731	0.143804046
732	0.1436376571
733	0.1435547097
734	0.143489503
735	0.1433975494
736	0.1432606016
737	0.1430430314
738	0.1429631928
739	0.1429083145
740	0.1428235848
741	0.142714866
742	0.1426132384
743	0.1425433791
744	0.14231761
745	0.1422597799
746	0.1421794756
747	0.1420928792
748	0.1419340106
749	0.1418346968
750	0.1417124273
751	0.1415235796
752	0.1414518451
753	0.1412969011
754	0.1412266151
755	0.1410744364
756	0.1410109725
757	0.1408926829
758	0.1408065233
759	0.1406534168
760	0.1404696576
761	0.1403359133
762	0.1401486318
763	0.1400861427
764	0.1400392822
765	0.1398908226
766	0.1398110334
767	0.1397298616
768	0.1396445752
769	0.1395406643
770	0.1394775671
771	0.1393727841
772	0.1392639626
773	0.1391922727
774	0.1391563194
775	0.1390676031
776	0.1389869017
777	0.1389242546
778	0.1388644338
779	0.1387790476
780	0.1386822092
781	0.1385446269
782	0.1384103954
783	0.138300661
784	0.1382496647
785	0.1381092586
786	0.138054676
787	0.1379116914
788	0.1378392509
789	0.137739492
790	0.1376748738
791	0.1375660198
792	0.1374942916
793	0.1374314028
794	0.1373072574
795	0.137222035
796	0.1370499122
797	0.1369249121
798	0.1367757928
799	0.1366961867
800	0.1365714738
801	0.136396244
802	0.1363032033
803	0.1362268388
804	0.1361326151
805	0.1360245439
806	0.1358837288
807	0.1357779122
808	0.1356749054
809	0.1355362116
810	0.1354446074
811	0.1353391553
812	0.1352512574
813	0.1351589296
814	0.1350261994
815	0.1349613488
816	0.1348859636
817	0.1347571993
818	0.1346574962
819	0.134529621
820	0.1343898348
821	0.1343269181
822	0.1341790304
823	0.1341262474
824	0.1340216812
825	0.1338863378
826	0.1337901667
827	0.1336836572
828	0.1335993914
829	0.1335174521
830	0.1334404748
831	0.1333414609
832	0.1332939174
833	0.1332170138
834	0.1331567046
835	0.1329726083
836	0.1329136843
837	0.1328285091
838	0.1327822108
839	0.1326740173
840	0.1325619034
841	0.1324346083
842	0.132375107
843	0.1322578161
844	0.132205193
845	0.1320903532
846	0.131928553
847	0.1318297751
848	0.1317825946
849	0.1316922286
850	0.1315778941
851	0.131504399
852	0.1313972631
853	0.1313065814
854	0.1312523224
855	0.1311128205
856	0.1310209291
857	0.130914323
858	0.1308037985
859	0.130686932
860	0.130604096
861	0.1305489076
862	0.1304261353
863	0.1303653043
864	0.130238327
865	0.1301940393
866	0.1300500568
867	0.1299589766
868	0.1298898169
869	0.1297512253
870	0.1297185033
871	0.1296441181
872	0.1295450636
873	0.1293757215
874	0.1292995372
875	0.129189219
876	0.129144145
877	0.1290409488
878	0.1289435333
879	0.1288145289
880	0.1287509203
881	0.1286682388
882	0.1285690609
883	0.1284749271
884	0.1283784415
885	0.1282846319
886	0.1282069312
887	0.1280632706
888	0.1280102857
889	0.1278751973
890	0.1276929809
891	0.1275621014
892	0.1273742318
893	0.1273188041
894	0.1271996001
895	0.1270745863
896	0.1270200348
897	0.1269785804
898	0.1269307425
899	0.1268115609
900	0.126719242
901	0.1265771401
902	0.1264111108
903	0.1263424181
904	0.1262527471
905	0.1261475239
906	0.1260221957
907	0.1259701451
908	0.1258218399
909	0.1257373191
910	0.1256182629
911	0.1255634821
912	0.1254498387
913	0.125294123
914	0.1252467268
915	0.1251365138
916	0.1250767134
917	0.1249884064
918	0.1249061318
919	0.1248069737
920	0.1247688368
921	0.1246746908
922	0.1246193657
923	0.1245685807
924	0.1245044337
925	0.1243880518
926	0.1242613327
927	0.1241240573
928	0.124067503
929	0.1239108748
930	0.123838711
931	0.1237699687
932	0.1236452636
933	0.1234252617
934	0.1233653444
935	0.1232820037
936	0.1232358334
937	0.123159103
938	0.1230703138
939	0.1229405243
940	0.1228455334
941	0.1228025881
942	0.1227142665
943	0.1226302081
944	0.1225271012
945	0.1223850544
946	0.1222835796
947	0.1221750345
948	0.1220640793
949	0.1220243108
950	0.1219207018
951	0.1218530877
952	0.1217788007
953	0.1216779381
954	0.1215738407
955	0.1214294906
956	0.1213556667
957	0.1213047269
958	0.1212011857
959	0.1211183868
960	0.1210034144
961	0.1209308318
962	0.1208489598
963	0.1208179946
964	0.1207733215
965	0.1206370975
966	0.120573236
967	0.1204983148
968	0.1203825615
969	0.1203290265
970	0.1202715206
971	0.1201290095
972	0.120067924
973	0.1199579925
974	0.119824417
975	0.119739716
976	0.1196238339
977	0.1195476028
978	0.1194884595
979	0.1193386628
980	0.1192771452
981	0.119197831
982	0.1191064229
983	0.119025819
984	0.1189272167
985	0.1187734726
986	0.1187152866
987	0.1186488945
988	0.1185840292
989	0.1184826054
990	0.1184177215
991	0.1183393673
992	0.1182794982
993	0.1181933446
994	0.1181238775
995	0.1180630338
996	0.1179705095
997	0.1178873377
998	0.1178002699
999	0.1177310107
